"","x"
"1",0.0311684827669512
"2",7.26468133213444e-16
"3",3.65001147227251e-18
"4",6.05231150470307e-22
"5",2.77822025138879e-11
"6",5.36124314094252e-17
"7",0.00034820144788854
"8",1.26708391284557e-15
"9",3.66938119416165e-25
"10",1.24112289014871e-20
"11",4.81697280337791e-24
"12",3.29923205928164e-14
"13",1.0400595414402e-19
"14",3.36087232402255e-12
"15",0.0200755645049089
"16",2.83810485043737e-13
"17",2.32022184481448e-28
"18",1.27204900501251e-13
"19",6.66823335772415e-18
"20",2.12652893371248e-05
"21",2.71853662206643e-10
"22",0.00342141201880445
"23",0.404812001667059
"24",4.71005107677073e-15
"25",8.90782052913463e-16
"26",6.61288032871616e-14
"27",4.24661767633853e-16
"28",7.19531649292197e-11
"29",4.53634618354146e-11
"30",2.74519591899507e-08
"31",1.37899791827672e-17
"32",0.0550290528211119
"33",1.26556178688907e-07
"34",3.74418819370135e-23
"35",1.68401878330861e-19
"36",1.18980197195302e-06
"37",6.21203592076344e-17
"38",1.14037595550449e-17
"39",0.0630362888986759
"40",0.00320602073163633
"41",2.64207318465587e-17
"42",0.00133385381377863
"43",1.33101078206796e-05
"44",5.7706192166288e-05
"45",0.271982115411993
"46",3.03076535596958e-05
"47",1.98360928165219e-07
"48",4.13271571774443e-12
"49",0.436787507203022
"50",0.105279515564881
"51",4.52044375251976e-07
"52",2.27847272697463e-16
"53",1.04115915964372e-23
"54",1.03196474602753e-08
"55",0.00302842886614349
"56",6.55887719448566e-15
"57",3.58746667324805e-11
"58",0.064050368476037
"59",3.65946401630565e-06
"60",1.080863658562e-11
"61",0.0135805020508269
"62",1.08016299421292e-11
"63",1.38137426420141e-06
"64",0.000835135409240632
"65",3.06646749480348e-12
"66",1.29292128168027e-05
"67",4.73083679958316e-06
"68",6.68410668985063e-10
"69",3.47924874595006e-18
"70",2.4222652325681e-17
"71",7.82007505691966e-09
"72",7.38296636301196e-17
"73",0.0424615060491296
"74",0.0083311313927315
"75",2.6828675407178e-15
"76",0.377657679195575
"77",1.36683043688514e-28
"78",4.85029269683391e-16
"79",0.00305765105742104
"80",1.56507670901321e-24
"81",1.5225055244425e-24
"82",0.0359949964638557
"83",4.94794392632959e-10
"84",0.000834764229528724
"85",4.0642517302662e-23
"86",8.66845945964179e-20
"87",0.000158502641385002
"88",3.13766336103431e-17
"89",5.59804761973763e-08
"90",0.538715721670124
"91",0.000653926388196294
"92",6.80622230432734e-09
"93",1.27299249199114e-26
"94",4.80217882355912e-15
"95",1.60061289257634e-19
"96",1.70650443194777e-09
"97",0.0187872228707328
"98",2.06790213419496e-17
"99",6.05000162263864e-17
"100",2.31899914361732e-11
"101",2.66095801842322e-19
"102",2.22503896276908e-17
"103",1.00292997620017e-15
"104",0.794871896926506
"105",1.51275245252391e-20
"106",6.30329835135199e-12
"107",8.75985367732826e-33
"108",1.09419567293276e-14
"109",0.0312959889130388
"110",4.58896227958004e-21
"111",2.04262792827877e-26
"112",9.52122385293572e-17
"113",1.60919344592536e-33
"114",3.27031381717677e-20
"115",3.67319847189657e-21
"116",2.32712048856267e-16
"117",0.00026729756611553
"118",4.25460311660888e-09
"119",4.72106661445935e-22
"120",3.29938540093033e-10
"121",1.82682183000723e-18
"122",1.67013451135814e-15
"123",1.47940933673624e-12
"124",1.6338693321575e-21
"125",3.96907503962298e-14
"126",4.53921946585277e-17
"127",7.24668455763532e-08
"128",4.54305955679325e-05
"129",3.64291551479904e-13
"130",9.75430215348646e-05
"131",3.07988660958297e-29
"132",0.814045183148782
"133",7.94658471230966e-07
"134",1.13697825405005e-12
"135",6.15709901007867e-06
"136",1.81992888286071e-15
"137",2.54210122046759e-07
"138",9.34030571414827e-26
"139",1.32221488419072e-26
"140",3.4984604743937e-18
"141",1.04301778722719e-13
"142",1.08465324962627e-05
"143",0.000272419004475613
"144",0.0134822941148229
"145",6.28077531647382e-20
"146",1.74138023803909e-21
"147",3.43456603379627e-25
"148",8.54433281812299e-15
"149",1.57747367097471e-10
"150",2.1147959241085e-07
"151",1.9702400907918e-24
"152",0.000149223075284197
"153",1.41797696021553e-05
"154",6.91450979406588e-16
"155",4.0993102536449e-08
"156",1.82839314566621e-05
"157",0.00702902535153011
"158",0.339770382758242
"159",3.82613653249822e-10
"160",0.0151446678659749
"161",2.81689017416265e-25
"162",5.26763047204769e-26
"163",4.15532475886619e-20
"164",3.35392274731917e-13
"165",2.12952647756995e-25
"166",7.78046898020263e-23
"167",7.05597213050877e-18
"168",0.000122199426683942
"169",1.69004098949574e-14
"170",7.21063177609783e-06
"171",7.44728078488895e-15
"172",3.49052350732338e-21
"173",1.85460632950974e-28
"174",5.80760771983048e-11
"175",3.0584916789945e-13
"176",0.00517460044954843
"177",9.61070758207355e-14
"178",0.562234830470329
"179",0.0142502307898004
"180",6.2293351171126e-14
"181",4.97389896576958e-18
"182",0.772392803001356
"183",3.65242065124842e-14
"184",0.471194955974476
"185",2.04430470824787e-20
"186",2.67861162737664e-29
"187",2.26324438288261e-09
"188",1.11764823868252e-17
"189",1.11769045475377e-19
"190",0.0122374588259394
"191",0.0646963120145941
"192",6.81458172303116e-18
"193",0.0114778040448263
"194",2.48423713933115e-06
"195",0.91162518841656
"196",9.65983741565528e-08
"197",5.99090884276433e-10
"198",2.62361514141526e-07
"199",2.35068074104352e-08
"200",1.41184937740188e-06
"201",9.93377138595638e-25
"202",1.49995556140922e-22
"203",2.48513406089793e-20
"204",8.76259067764845e-17
"205",4.0134696363915e-08
"206",2.24102873882092e-11
"207",2.31205713235801e-14
"208",0.000580591551382205
"209",5.88174479946624e-13
"210",3.19683366292449e-14
"211",2.21866352641015e-09
"212",1.70471296640263e-07
"213",7.31607165288236e-08
"214",1.95239430016581e-17
"215",0.56533492364628
"216",2.01131251507091e-24
"217",9.64297362998801e-16
"218",4.58763499660319e-16
"219",4.99857609241142e-14
"220",9.20229357221304e-22
"221",3.77323364938498e-15
"222",2.34059631448651e-05
"223",1.1439452068729e-23
"224",2.21682177696646e-05
"225",0.000706967602050481
"226",2.54622842046885e-07
"227",2.72695075704644e-06
"228",6.79106979041356e-13
"229",4.36672491932453e-08
"230",2.64595408317425e-05
"231",0.0109154431419566
"232",0.0111475780307246
"233",0.000415408008079371
"234",3.78236369500717e-08
"235",0.466936223520176
"236",0.0758612614169689
"237",3.74288446157022e-17
"238",0.431586775129807
"239",1.99931939585441e-11
"240",1.14335400035161e-23
"241",1.41477610983316e-35
"242",1.52143335424925e-07
"243",5.77742006983222e-32
"244",2.56177412270211e-07
"245",1.78763398487827e-09
"246",1.09633104278434e-35
"247",0.0963046499874453
"248",0.38052159951402
"249",1.55920631072757e-10
"250",0.00283817370002939
"251",0.857273435599424
"252",0.181549325825898
"253",1.41072505999717e-15
"254",1.69135925558319e-13
"255",2.94628462479982e-06
"256",5.68202608202336e-24
"257",1.28882615934781e-12
"258",1.31346468498179e-10
"259",3.17863877272218e-21
"260",8.21569581977686e-07
"261",0.000152692921141585
"262",0.00229176584220756
"263",0.210562428287614
"264",1.34764699410878e-15
"265",0.000448353986253416
"266",1.13048106338863e-10
"267",0.00207620272465369
"268",1.58184102094056e-09
"269",9.00245977090612e-22
"270",3.40491459885437e-06
"271",1.68183605350037e-20
"272",0.117202633985864
"273",8.86517250387925e-05
"274",0.0219562413563775
"275",9.77536009486892e-05
"276",3.47915909290553e-14
"277",1.03558034823514e-29
"278",1.04295058870959e-22
"279",5.53364824928264e-07
"280",0.0773380327802593
"281",6.38836439336025e-22
"282",4.01495195358517e-22
"283",2.89006719368792e-20
"284",2.23846128024943e-12
"285",0.00193570776009309
"286",4.34242410621079e-18
"287",2.52138552670893e-08
"288",1.17663818706802e-11
"289",6.02368199137185e-19
"290",4.36111363689892e-29
"291",3.03268806029104e-23
"292",2.90604245385184e-10
"293",0.000694229084145954
"294",0.00186546445415066
"295",9.07697037365406e-26
"296",0.0256088994726086
"297",1.68915350506982e-19
"298",7.83578676712271e-06
"299",0.000275343409848395
"300",0.0252419847852288
"301",0.000734062456019541
"302",5.79284925829003e-15
"303",2.94068424034263e-26
"304",3.55266999618374e-18
"305",4.15461667761711e-14
"306",0.000621848589342086
"307",7.7402125953212e-23
"308",1.08996035090082e-07
"309",4.29790706575166e-13
"310",0.941311298239645
"311",6.8166778291142e-31
"312",4.29016131877687e-28
"313",2.87788464815083e-22
"314",5.97120114344527e-26
"315",3.73016868080904e-34
"316",9.66612501197849e-13
"317",5.00208983666089e-05
"318",9.13923998145414e-22
"319",0.096200304748084
"320",2.37423555299763e-22
"321",4.71877012560621e-10
